"year","catch","effort","cpue"
1969,381445,2655,143.6704331
1970,351311,2655,132.3205273
1971,329378,2655,124.0595104
1972,268110,2200,121.8681818
1973,298344,3072,97.1171875
1974,224106,3150,71.1447619
1975,246120,3120,78.88461538
1976,262242,3120,84.05192308
1977,236392,3120,75.76666667
1978,323684,3120,103.7448718
1979,157723,2976,52.99831989
1980,121751,3120,39.02275641
1981,108060,3336,32.39208633
1982,84402,3216,26.24440299
1983,40821,2730,14.95274725
1984,38250,2730,14.01098901
1985,70308,2730,25.75384615
1986,77238,1395,55.36774194
1987,62365,1486,41.96837147
1988,100188,1771,56.57142857
1989,100990,1692,59.68676123
1990,115376,1586,72.74653216
1991,109840,1615,68.0123839
1992,125210,1761,71.10164679
1993,110032,1833,60.02836879
1994,79925,1809,44.18186844
1995,60176,1400,42.98285714
1996,35206,792,44.4520202
1997,35146,927,37.91370011
1998,30302,1328,22.81777108
1999,23474,1216,19.30427632
2000,26542,1166,22.76329331
2001,28572,1181,24.19305673
2002,27396,980,27.95510204
2003,26625,1015,26.23152709
2004,26533,1011,26.24431256
2005,28651,1109,25.83498647
2006,27963,1167,23.96143959
2007,28235,1209,23.35401158
2008,27414,1093,25.08142726
2009,5013,151,33.1986755
